ip,time
59.18.46.6,57.335
59.18.46.8,52.300
59.18.46.12,43.474
59.18.46.10,49.611
59.18.46.15,51.484
59.18.46.16,54.529
59.18.46.1,119.075
59.18.46.13,105.533
59.18.46.9,110.467
59.18.46.7,117.359
59.18.46.14,130.616
59.18.46.11,67.007
59.18.46.17,95.003
59.18.46.21,58.420
59.18.46.23,53.749
59.18.46.19,117.108
59.18.46.18,118.561
59.18.46.20,124.219
59.18.46.27,44.276
59.18.46.22,113.603
59.18.46.30,52.421
59.18.46.31,40.125
59.18.46.24,112.180
59.18.46.25,111.439
59.18.46.32,52.022
59.18.46.28,102.815
59.18.46.26,112.304
59.18.46.29,121.775
59.18.46.35,63.097
59.18.46.39,40.521
59.18.46.37,51.722
59.18.46.33,109.865
59.18.46.34,110.569
59.18.46.42,55.820
59.18.46.36,113.819
59.18.46.46,51.521
59.18.46.38,125.453
59.18.46.40,118.925
59.18.46.49,42.303
59.18.46.48,51.393
59.18.46.41,110.534
59.18.46.44,104.210
59.18.46.43,109.563
59.18.46.50,44.512
59.18.46.45,111.253
59.18.46.51,48.760
59.18.46.47,119.417
59.18.46.53,54.337
59.18.46.54,53.624
59.18.46.56,94.319
59.18.46.52,128.218
59.18.46.58,98.199
59.18.46.55,124.196
59.18.46.57,95.537
59.18.46.59,120.323
59.18.46.65,133.239
59.18.46.5,119.555
59.18.46.4,113.366
59.18.46.129,137.055
59.18.46.193,68.942
